CVEGEO,POBTOT,POBFEM,P_15A49_F,AB,C_MAS,C,C_MENOS,D_MAS,D,E,NSE,NSE_2,VIVIENDAS
2006700010882,881,508,219,78,80,58,37,24,32,4,C+,C_MAS,313
2006700010897,644,379,160,54,51,35,50,33,27,6,A/B,AB,256
2006700010929,"1,983","1,117",513,87,138,116,127,77,84,16,C+,C_MAS,645
2006700010933,430,239,98,21,37,27,24,18,18,0,C+,C_MAS,145
2006700010948,"1,836","1,018",456,58,99,93,87,83,117,25,D,D,562
2006700010952,416,225,100,32,18,22,19,13,27,12,A/B,AB,143
2006700010967,"1,546",861,397,87,85,75,69,65,80,27,A/B,AB,488
2006700010971,"2,665","1,423",703,109,126,124,128,104,149,53,D,D,793
2006700010986,"3,598","1,889",982,111,128,170,176,169,197,53,D,D,1004
2006700010990,"1,323",706,372,46,52,66,89,66,89,18,D,C_MENOS,426
2006700011005,"2,675","1,395",688,77,77,98,111,81,169,48,D,D,661
2006700011024,"2,179","1,231",568,93,103,111,87,83,108,38,C,C,623
2006700011039,"1,449",783,373,123,117,74,56,27,50,6,A/B,AB,453
2006700011043,415,220,106,40,38,25,17,8,3,0,A/B,AB,131
2006700011058,"2,629","1,462",729,106,137,136,116,100,114,15,C+,C_MAS,724
2006700011062,"2,616","1,388",765,87,98,96,89,81,168,57,D,D,676
2006700011081,"3,524","1,897",979,146,155,125,138,102,189,38,D,D,893
2006700011096,"2,087","1,127",572,94,136,79,75,57,105,25,C+,C_MAS,571
2006700011109,"2,922","1,567",807,107,153,106,135,84,152,37,C+,C_MAS,774
2006700011166,814,441,249,43,57,47,22,19,15,6,C+,C_MAS,209
2006700011170,"1,778",961,506,54,84,73,65,70,125,32,D,D,503
2006700011185,"3,401","1,823",985,49,76,107,126,114,285,86,D,D,843
2006700011217,"3,067","1,631",894,99,168,154,130,124,183,44,D,D,902
2006700011240,"1,115",588,314,63,66,51,43,27,40,16,C+,C_MAS,306
2006700011255,"1,606",893,456,58,110,90,92,74,71,8,C+,C_MAS,503
2006700011274,"2,747","1,493",754,101,147,105,119,94,156,43,D,D,765
2006700011310,"1,277",674,349,19,43,40,64,47,78,25,D,D,316
2006700011325,"2,771","1,445",710,100,116,132,111,85,172,53,D,D,769
2006700011344,"3,388","1,774",935,62,120,96,126,138,243,71,D,D,856
2006700011359,"1,079",571,276,8,24,30,34,56,108,23,D,D,283
2006700011382,"2,438","1,276",686,8,31,47,58,106,230,90,D,D,570
2006700011448,"1,408",772,383,130,133,84,63,33,27,0,C+,C_MAS,470
2006700011452,"4,541","2,396","1,432",231,250,208,264,294,233,36,D+,D_MAS,1516
2006700011467,"3,352","1,774",980,69,129,138,146,131,236,61,D,D,910
2006700011486,"1,536",774,460,43,76,76,69,77,116,33,D,D,490
2006700011490,"3,456","1,883",913,99,127,127,138,152,292,68,D,D,1003
2006700011503,"2,113","1,170",651,40,63,80,73,90,132,53,D,D,531
2006700011522,943,521,229,59,63,43,38,29,43,5,C+,C_MAS,280
2006700011537,"1,671",904,415,74,96,82,80,55,79,22,C+,C_MAS,488
2006700011541,"2,107","1,183",573,78,95,79,92,107,128,40,D,D,619
2006700011556,"1,947","1,044",546,49,60,80,67,87,135,39,D,D,517
2006700011560,"1,318",704,355,146,141,73,28,19,38,6,A/B,AB,451
2006700011575,"1,150",626,299,45,57,45,46,38,72,21,D,D,324
2006700011594,969,529,283,16,18,20,43,39,88,17,D,D,241
2006700011611,"2,259","1,190",572,36,83,83,80,79,157,51,D,D,569
2006700011626,"1,101",603,292,30,53,64,59,50,47,5,C,C,308
2006700011630,"1,370",764,367,57,68,72,70,56,59,9,C,C,391
2006700011679,"2,435","1,286",671,48,88,96,80,93,159,47,D,D,611
2006700011698,"2,425","1,288",726,43,72,84,85,101,163,47,D,D,595
2006700011700,"2,520","1,287",706,47,75,86,109,102,181,60,D,D,660
2006700011715,"1,556",852,426,35,55,57,66,61,84,14,D,D,372
2006700011734,"2,849","1,506",809,32,44,59,94,102,270,103,D,D,704
2006700011753,"1,015",539,271,53,40,38,38,32,44,15,A/B,AB,260
2006700011768,579,316,173,5,7,8,16,23,61,19,D,D,139
2006700011772,668,359,180,87,74,27,14,6,5,0,A/B,AB,214
2006700011787,405,204,119,0,0,6,9,21,50,16,D,D,106
2006700011791,"5,117","2,640","1,547",62,111,128,174,179,477,242,D,D,1373
2006700011819,"2,223","1,199",635,17,35,57,66,91,196,64,D,D,526
2006700011823,"4,878","2,548","1,393",68,127,112,159,189,412,142,D,D,1209
2006700011838,"3,214","1,722",959,113,234,212,167,127,109,6,C+,C_MAS,968
2006700011861,"1,987","1,031",565,59,87,69,82,73,123,28,D,D,521
2006700011880,"2,150","1,136",609,19,57,72,82,83,196,54,D,D,563
2006700011895,"2,462","1,319",716,40,76,93,104,98,189,51,D,D,651
2006700011912,38,22,11,0,0,0,3,0,4,0,D,D,11
2006700011927,"1,079",609,320,4,11,34,37,40,99,31,D,D,256
2006700011931,981,516,244,0,5,12,23,31,106,47,D,D,225
2006700011950,"2,276","1,191",675,10,21,36,65,98,241,105,D,D,576
2006700011984,230,118,68,16,16,9,6,7,6,3,C+,AB,63
2006700011999,392,211,120,7,5,4,8,18,40,14,D,D,96
2006700012003,"1,605",838,431,0,13,27,39,81,161,58,D,D,381
2006700012018,"2,017","1,114",595,18,26,47,58,77,173,61,D,D,460
2006700012022,"2,115","1,134",604,89,104,96,88,61,118,20,D,D,576
2006700012056,543,294,138,39,42,25,19,23,18,0,C+,C_MAS,168
2006700012094,"1,839",914,546,40,70,61,71,69,128,36,D,D,475
2006700012107,"1,651",854,490,34,50,64,63,63,135,30,D,D,439
2006700012111,"1,344",709,392,7,17,25,40,57,154,47,D,D,347
2006700012126,"1,359",695,390,4,16,30,58,39,156,52,D,D,355
2006700012130,"1,607",836,482,0,7,20,41,73,160,64,D,D,367
2006700012145,"1,381",708,384,3,12,16,37,74,131,53,D,D,326
2006700012164,882,475,240,5,7,14,22,25,96,30,D,D,199
2006700012179,"2,540","1,339",743,49,66,88,94,99,221,55,D,D,672
2006700012183,"2,012","1,053",572,37,52,79,73,85,116,41,D,D,483
2006700012198,"1,806",949,500,24,40,58,60,80,141,58,D,D,461
2006700012200,"1,854",966,505,24,55,41,65,67,136,65,D,D,453
2006700012215,113,61,33,0,0,4,5,0,13,3,D,D,28
2006700012234,"3,417","1,828",930,64,113,140,138,134,204,38,D,D,831
2006700012253,"1,650",854,465,3,9,22,37,66,167,85,D,D,389
2006700012268,"1,637",853,467,4,17,35,48,53,167,104,D,D,428
2006700012272,"3,098","1,621",939,42,89,96,103,136,271,108,D,D,845
2006700012287,"2,477","1,327",727,53,112,97,110,82,164,75,D,D,693
2006700012291,17,9,4,0,0,0,0,0,0,0,E,AB,4
2006700012304,45,19,11,0,0,0,0,3,3,0,D,D_MAS,12
2006700012323,36,17,12,0,0,0,0,3,0,0,D+,D_MAS,7
2006700012338,28,17,6,6,0,0,0,0,0,0,A/B,AB,10
2006700012376,220,115,66,0,0,4,3,10,33,10,D,D,63
2006700012408,290,137,91,0,0,5,3,13,38,19,D,D,79
2006700012412,155,78,52,0,0,0,3,5,31,24,D,D,65
2006700512060,"2,501","1,315",742,37,63,72,93,98,211,79,D,D,653
2006700512075,"2,014","1,046",572,30,30,48,46,66,215,71,D,D,506
2006700512380,286,139,77,0,0,3,5,14,32,13,D,D,68
2006700512395,858,429,249,3,11,5,18,37,117,45,D,D,236
2006700512427,"1,137",598,348,0,6,14,26,41,129,56,D,D,274
2006800010019,"2,783","1,487",739,38,86,100,118,125,197,72,D,D,736
2006800010061,"1,637",863,492,9,18,31,46,69,166,88,D,D,427
2006800010076,"2,998","1,585",820,15,34,55,91,103,273,139,D,D,710
2006800010080,"2,091","1,095",595,14,29,37,50,73,213,100,D,D,516
2006800010095,"2,339","1,232",627,37,65,82,90,103,183,63,D,D,623
2006800010108,"3,852","2,019","1,065",38,80,114,127,165,316,125,D,D,965
2006800010112,266,136,75,0,0,5,7,13,33,7,D,D,68
2006800010127,196,103,49,0,0,0,4,12,21,3,D,D,44
2006800010131,72,39,24,0,3,0,0,0,10,5,D,D,22
2006800010146,101,50,27,0,0,0,0,0,14,6,D,D,22
2006800010165,15,7,5,0,0,0,0,0,0,0,C,AB,7
2006800010184,41,13,6,0,0,0,0,0,6,0,D,D,12
2006900010020,"2,503","1,253",656,0,0,6,6,20,190,409,E,E,633
2007000010036,495,246,128,0,3,3,10,11,62,58,D,D,149
2007000010040,"2,317","1,207",544,8,33,39,56,69,259,177,D,D,641
2007000010055,"2,462","1,254",615,3,12,12,27,32,303,242,D,D,631
2007100010029,471,252,127,0,4,9,11,17,52,24,D,D,118
2007100010033,171,95,42,0,0,0,4,7,17,18,E,E,49
2007200010045,"1,592",839,432,0,4,13,50,79,142,105,D,D,395
2007200010079,40,20,12,0,0,0,3,3,6,3,D,D,16
2007300010095,"1,880","1,021",531,9,19,25,29,72,224,135,D,D,513
2007300010108,858,470,248,5,10,10,22,34,111,37,D,D,229
2007300010146,"2,957","1,595",830,49,87,89,85,114,300,110,D,D,834
2007300010150,"2,256","1,224",616,40,45,66,69,114,250,63,D,D,647
2007300010165,"2,187","1,221",629,15,39,43,65,68,239,91,D,D,560
2007300010184,772,427,218,23,28,22,40,41,96,9,D,D,259
2007300010199,193,105,52,0,0,5,6,10,25,4,D,D,53
2007300010201,31,15,6,0,0,0,0,0,6,0,D,D,9
2007300010216,25,15,6,0,0,0,0,0,0,0,D+,AB,6
2007400010020,372,187,95,0,0,0,0,3,47,78,E,E,128
2007500010032,82,38,14,0,0,0,0,0,12,19,E,E,32
2007500010047,637,336,156,0,0,15,12,16,117,76,D,D,237
2007500010051,548,276,114,0,3,6,19,35,144,89,D,D,296
2007500010070,113,61,24,0,0,0,3,4,22,16,D,D,45
2007500010085,365,197,93,0,6,6,15,11,81,60,D,D,179
2007500010117,30,17,11,0,0,0,0,0,8,5,D,D,13
2007600010063,187,106,54,0,0,0,0,10,25,14,D,D,52
2007600010097,375,199,102,0,0,6,13,22,44,29,D,D,117
2007600010114,36,22,12,0,0,0,0,0,3,5,E,E,8
2007700010022,"1,906",986,488,13,28,61,63,64,167,72,D,D,468
2007700010037,388,204,110,6,15,14,23,15,27,4,D,D,104
2007700010041,56,25,13,0,0,0,0,0,8,3,D,D,16
2007800010034,386,207,100,6,9,11,21,27,32,21,D,D,127
2007900010027,"1,816",943,478,37,74,85,88,97,132,45,D,D,558
2007900010120,"1,844",924,458,31,86,84,93,93,140,58,D,D,585
2007900010154,"2,164","1,187",533,66,169,148,135,101,62,3,C+,C_MAS,684
2007900010169,"1,556",812,433,6,20,42,54,64,218,89,D,D,493
2007900010173,"1,030",514,306,60,124,89,59,13,7,0,C+,C_MAS,352
2007900010224,31,17,8,0,0,0,0,0,4,3,D,D,10
2007900010258,"1,720",903,455,26,62,86,82,62,162,55,D,D,535
2007900010262,"1,071",570,280,12,46,32,52,65,110,43,D,D,360
2007900010277,"1,485",776,394,8,30,42,58,75,197,85,D,D,495
2007900010281,"1,178",631,328,0,31,39,57,57,146,54,D,D,386
2007900010296,"1,890","1,002",476,19,31,52,81,96,205,97,D,D,581
2007900010309,"1,698",884,424,20,49,60,80,98,164,75,D,D,546
2007900010313,"2,381","1,260",563,50,95,107,123,131,197,77,D,D,780
2007900010328,"1,344",717,358,13,26,39,58,81,162,50,D,D,429
2007900010347,"1,674",912,434,7,35,36,65,91,194,93,D,D,521
2007900010366,"1,489",795,367,33,52,76,67,86,136,34,D,D,484
2007900010370,865,446,213,6,31,47,36,39,85,42,D,D,286
2007900010417,"2,561","1,359",723,9,34,60,87,123,358,184,D,D,855
2007900010455,"1,609",851,418,21,53,57,73,58,127,59,D,D,448
2007900010474,"1,301",664,341,21,37,37,42,53,128,58,D,D,376
2007900010489,"1,320",702,348,31,69,81,69,59,80,22,C,C,411
2007900010506,"2,396","1,248",645,9,29,49,91,124,255,156,D,D,713
2007900010525,"1,604",855,448,22,88,86,106,99,101,9,C-,C_MENOS,511
2007900010544,"1,245",654,338,11,19,46,60,70,137,55,D,D,398
2007900010559,"1,919","1,022",525,11,37,48,72,70,206,93,D,D,537
2007900010563,"1,927",999,522,9,32,46,58,80,216,90,D,D,531
2007900010578,"2,411","1,240",690,6,20,42,56,111,311,191,D,D,737
2007900010597,"1,375",734,369,5,16,32,57,71,212,100,D,D,493
2007900010614,"1,230",667,351,27,49,50,62,66,96,26,D,D,376
2007900010629,"1,799",927,478,25,92,130,104,80,103,24,C,C,558
2007900010633,37,17,10,0,3,0,3,0,0,0,C-,C_MAS,11
2007900010648,198,103,63,0,0,8,5,13,24,5,D,D,57
2007900010667,952,493,284,0,4,15,20,33,144,81,D,D,298
2007900010671,"1,906",991,540,18,35,32,57,83,224,102,D,D,551
2007900010690,"1,165",606,290,23,51,47,68,40,125,51,D,D,405
2007900010703,"1,754",935,457,7,40,56,68,92,208,97,D,D,568
2007900010718,"1,492",768,409,18,52,69,75,71,130,54,D,D,469
2007900010722,784,416,201,6,23,44,43,55,61,23,D,D,255
2007900010737,"1,701",879,470,5,19,33,49,64,193,121,D,D,484
2007900010741,"1,456",771,413,14,19,23,47,39,192,128,D,D,462
2007900010756,"1,090",576,305,3,7,22,48,46,127,57,D,D,310
2007900010760,"1,344",715,369,3,15,27,47,56,173,68,D,D,389
2007900010775,815,417,232,13,35,25,32,42,78,35,D,D,260
2007900010794,27,18,12,0,0,0,0,0,3,3,E,D,9
2007900010807,"1,182",598,329,0,11,17,45,69,143,73,D,D,360
2007900010811,"1,512",805,421,7,14,34,62,65,187,95,D,D,464
2007900010826,"1,232",632,351,12,22,35,41,50,138,60,D,D,358
2007900010830,"1,285",664,346,4,24,31,45,60,158,75,D,D,397
2007900010845,902,466,260,3,9,15,27,34,117,59,D,D,264
2007900010864,52,35,18,0,0,0,3,0,15,4,D,D,24
2007900010879,63,33,17,0,0,0,0,0,9,4,D,D,18
2007900010883,21,10,8,0,0,0,0,0,3,0,D,D,5
2007900010898,140,75,38,0,0,4,3,6,17,16,D,D,48
2007900010915,20,11,5,0,0,0,0,0,0,0,E,AB,5
2008000010013,"1,500",763,294,0,8,13,23,43,204,234,E,E,525
2008100010025,195,106,44,0,0,0,0,5,29,32,E,E,70
2008100010044,202,107,42,0,0,0,7,12,45,64,E,E,130
2008100010059,612,320,134,0,0,3,12,15,78,87,E,E,198
2008100010063,15,9,3,0,0,0,0,0,0,3,E,E,5
2008100010078,10,7,3,0,0,0,0,0,5,0,D,D,7
2008100010082,20,9,5,0,0,0,0,0,0,0,D,AB,5
2008200010056,"1,957","1,008",513,0,3,3,16,27,201,336,E,E,586
2008300010034,"2,022","1,035",637,34,69,70,99,116,138,31,D,D,557
2008300010049,"2,374","1,229",726,27,63,67,100,104,201,63,D,D,625
2008300010053,"2,069","1,088",593,32,55,57,87,86,147,58,D,D,522
2008300010068,"1,976","1,031",567,40,72,49,74,98,145,48,D,D,526
2008300010072,74,38,22,0,3,0,0,0,15,0,D,D,23
2008400010012,"1,929","1,016",501,65,105,85,108,85,101,26,C-,C_MENOS,575
2008400010031,"1,075",565,289,28,48,52,50,47,76,27,D,D,328
2008400010046,701,362,186,5,19,21,24,31,66,40,D,D,206
2008400010050,27,16,11,3,0,0,0,0,0,0,A/B,AB,9
2008400010065,108,55,31,0,0,0,3,6,14,6,D,D,32
2008400010084,37,19,12,0,0,0,3,3,0,0,D+,C_MENOS,9
2008500010096,"2,663","1,480",726,4,16,14,45,62,219,240,E,E,600
2008600010021,112,67,36,0,0,3,9,11,25,18,D,D,67
2008600010036,332,188,79,0,0,4,3,14,55,36,D,D,115
2008700010033,"2,113","1,167",602,14,22,43,66,94,200,91,D,D,530
2008700010048,"1,722",899,491,24,51,42,55,66,155,73,D,D,466
2008700010052,975,493,278,3,5,14,17,34,136,62,D,D,271
2008800010026,304,155,77,0,0,4,9,19,42,32,D,D,108
2008900010023,"1,059",565,285,0,0,5,16,27,112,143,E,E,305
2009000010043,"1,558",841,377,6,11,25,24,59,192,139,D,D,456
2009000010058,411,210,107,0,0,6,9,14,46,48,E,E,125
2009000010062,285,161,82,0,0,0,4,12,29,25,D,D,72
2009000010081,942,476,255,4,6,6,12,26,123,109,D,D,286
2009000010096,"1,164",611,297,4,7,18,27,37,150,102,D,D,345
2009100010021,"1,973","1,051",557,102,113,80,75,64,119,21,D,D,574
2009100010040,276,140,73,15,20,16,9,5,16,3,C+,C_MAS,84
2009100010055,"1,692",891,470,66,102,87,69,40,81,38,C+,C_MAS,483
2009100010074,265,135,68,5,12,9,6,13,22,10,D,D,77
2009100010093,20,12,6,0,0,0,0,0,0,0,C-,AB,7
2009100010106,57,32,18,3,4,3,0,0,5,0,D,D,16
2009100010110,120,60,35,8,6,8,6,10,6,0,D+,D_MAS,45
2009100010125,90,46,19,6,0,4,0,4,5,3,A/B,AB,26
2009100010144,65,32,14,3,0,3,0,4,0,0,D+,D_MAS,15
2009100010159,109,49,31,6,3,4,6,0,5,0,C-,AB,26
2009200010029,"1,204",624,287,15,25,23,33,50,120,89,D,D,355
2009300010026,25,16,6,0,0,0,0,4,4,4,E,D_MAS,12
2009300010030,129,67,25,0,0,0,0,3,31,25,D,D,62
2009400010023,227,115,57,0,0,0,0,4,33,45,E,E,83
2009500010020,"1,007",521,270,0,0,0,0,9,82,153,E,E,246
2009600010028,497,259,127,5,21,13,22,31,50,23,D,D,165
2009700010025,517,286,127,0,0,5,15,37,114,36,D,D,209
2009800010041,"1,652",899,418,3,5,7,21,40,154,211,E,E,441
2010000010022,245,130,54,0,3,0,9,9,61,44,D,D,129
2010200010027,"1,802",919,443,21,45,65,54,62,196,77,D,D,520
2010300010039,"2,897","1,514",731,15,31,45,61,124,327,144,D,D,747
2010300010043,"2,701","1,434",698,14,43,70,89,94,247,139,D,D,696
2010300010058,12,4,3,0,0,0,0,0,3,0,D,D,4
2010300010062,59,27,19,0,0,0,0,4,8,0,D,D,17
2010300010077,35,19,11,0,0,0,0,4,7,3,D,D,16
2010300010096,19,10,5,0,0,0,0,0,3,3,E,D,7
2010400010036,342,162,88,0,0,0,8,7,51,48,D,D,115
2010400010040,909,485,268,0,0,0,9,16,116,122,E,E,265
2010400010055,39,26,12,0,0,0,0,0,9,0,D,D,11
2010500010029,799,431,205,0,0,3,8,20,96,99,E,E,228
2010500010033,210,119,56,0,0,0,3,12,27,22,D,D,64
2010500010067,63,32,19,0,0,0,0,0,5,11,E,E,19
2010700010038,"5,055","2,675","1,459",54,97,110,146,187,342,91,D,D,1027
2010700010057,"2,241","1,166",688,42,56,86,93,93,197,63,D,D,630
2010700010061,"2,110","1,091",623,12,40,38,51,86,175,58,D,D,460
2010700010095,"3,137","1,669",892,81,95,97,123,112,207,63,D,D,778
2010700010108,81,43,25,0,0,0,0,0,8,9,E,E,24
2010700010112,832,437,248,11,9,21,30,40,57,39,D,D,207
2010700010127,"2,837","1,516",823,53,82,82,108,123,198,40,D,D,686
2010700010131,"2,193","1,174",637,21,54,49,64,91,159,54,D,D,492
2010700010146,"3,192","1,689",913,32,50,88,97,142,284,94,D,D,787
2010700010150,"2,646","1,416",802,36,62,61,101,89,195,77,D,D,621
2010900010032,712,368,174,5,6,11,8,24,85,94,E,E,233
2011000010029,60,35,17,0,0,0,0,3,17,16,D,D,38
2011100010026,"1,986","1,048",518,0,0,0,6,7,127,361,E,E,504
2011100010030,296,155,75,0,0,0,0,0,25,37,E,E,64
2011100010045,69,39,17,0,0,0,0,0,7,14,E,E,21
2011100010064,27,16,7,0,0,0,0,0,0,4,E,E,5
2011200010042,"1,583",845,370,0,5,20,21,37,163,267,E,E,513
2011200010057,839,435,193,0,0,7,9,20,91,200,E,E,329
2011200010061,14,7,4,0,0,0,0,0,7,6,D,D,13
2011300010035,"1,554",827,433,0,3,12,26,50,194,156,D,D,443
2011400010028,99,52,18,0,0,3,6,9,34,15,D,D,69
2011500010044,"2,453","1,309",688,41,71,87,110,102,221,49,D,D,681
2011500010059,172,85,49,4,0,7,6,9,15,6,D,D,49
2011500010063,18,8,5,0,0,0,0,0,3,0,D,D,7
2011500010078,308,167,94,4,6,7,8,14,31,7,D,D,77
2011500010133,112,61,26,0,3,3,6,4,15,4,D,D,36
2011500010148,85,44,22,0,0,0,0,0,14,5,D,D,24
2011500020097,"1,310",608,293,21,50,37,69,35,70,17,D,D,299
2011500020129,43,24,14,0,0,0,0,0,5,0,D,D,9
2011600010022,"2,845","1,516",651,0,0,0,6,11,171,588,E,E,780
2011800010050,965,547,264,3,9,5,23,36,115,81,D,D,272
2011800010065,"1,106",663,337,0,5,20,35,46,152,87,D,D,347
2011900010039,219,119,62,0,0,6,7,18,43,29,D,D,106
2011900010043,278,168,81,0,0,0,8,5,51,39,D,D,104
2012000010025,325,138,55,0,0,4,11,10,52,38,D,D,116
2012200010034,12,7,3,0,0,0,0,0,6,5,D,D,12
2012200010049,53,25,14,0,0,0,0,0,8,9,E,E,17
2012200010068,308,159,68,0,0,0,0,13,64,74,E,E,151
2012300010046,634,335,152,0,6,7,14,11,83,82,D,D,204
2012300010050,361,202,96,0,4,5,0,15,59,65,E,E,151
2012300010065,469,256,126,0,0,9,7,22,60,34,D,D,135
2012400010077,"1,083",559,281,4,5,17,18,40,135,67,D,D,286
2012400010081,"1,825",971,424,8,13,42,53,64,206,126,D,D,512
2012400010096,"4,218","2,156","1,226",0,14,31,56,140,548,240,D,D,1031
2012400010109,"4,602","2,312","1,155",6,14,33,67,94,556,393,D,D,1163
2012400010113,63,28,16,0,0,0,0,0,8,6,D,D,17
2012400010128,567,280,157,0,0,3,6,16,71,37,D,D,133
2012400010132,81,37,25,0,0,0,0,0,10,7,D,D,18
2012400010147,150,75,35,0,0,0,3,3,21,7,D,D,34
2012400010151,375,182,95,0,0,0,4,12,48,29,D,D,95
2012400010166,39,16,13,0,0,0,0,0,6,0,D,D,8
2012400170062,"2,958","1,487",799,0,7,7,27,53,401,270,D,D,765
2012500010290,474,235,107,0,6,15,11,28,73,43,D,D,178
2012500010318,37,18,7,0,0,0,0,5,5,0,D,D_MAS,13
2012500010322,116,64,30,0,0,0,5,11,19,15,D,D,52
2012500010337,31,16,7,0,0,0,3,3,3,0,D,C_MENOS,11
2012500010341,47,28,17,0,0,0,0,0,5,4,D,D,11
2012600010048,"1,603",845,412,0,0,0,3,17,161,212,E,E,396
2012600010052,"2,569","1,333",678,0,0,3,7,13,298,327,E,E,649
2012700010026,410,226,113,0,0,0,3,0,47,102,E,E,154
2012800010023,"1,151",610,250,0,16,26,49,70,197,106,D,D,466
2012900010020,186,93,45,0,0,0,7,15,53,24,D,D,103
2013000010074,868,426,214,0,0,0,6,7,99,174,E,E,287
2013000010089,"1,037",505,224,0,0,0,3,16,97,219,E,E,336
2013100010067,"1,724",938,499,0,9,19,33,60,178,102,D,D,403
2013100010118,"1,766",940,527,0,7,12,30,51,169,149,D,D,419
2013100010122,"1,369",731,401,0,3,10,17,25,144,123,D,D,324
2013100010137,103,55,41,0,0,0,3,3,9,9,E,D,25
2013100010141,328,169,98,0,0,0,3,5,44,19,D,D,72
2013100010156,148,72,43,0,0,0,0,0,14,17,E,E,32
2013100010175,31,15,8,0,0,0,0,0,4,0,D,D,6
2013100010194,37,18,10,0,0,0,0,0,3,4,E,E,7
2013100010207,48,25,13,0,0,0,0,0,7,3,D,D,11
2013100010264,83,40,29,0,0,0,0,4,11,9,D,D,24
2013100010279,12,5,4,0,0,0,0,0,3,3,E,D,7
2013100080103,"1,097",601,312,0,4,4,14,28,155,94,D,D,299
2013100080230,"1,536",779,438,0,4,15,20,53,212,99,D,D,404
2013100080245,"1,041",547,296,0,5,13,19,41,117,90,D,D,287
2013200010026,"1,049",552,271,0,8,20,21,36,117,97,D,D,301
2013300010038,149,80,37,0,0,0,4,5,28,27,D,D,67
2013300010042,122,62,34,0,0,3,5,4,31,28,D,D,73
2013300010057,60,30,14,0,0,0,0,3,10,11,E,E,25
2013400010054,"3,339","1,782",917,4,11,11,34,69,349,328,D,D,806
2013400010069,"3,008","1,620",798,12,18,45,57,86,333,206,D,D,757
2013500010013,"2,498","1,332",671,9,29,42,73,98,256,102,D,D,609
2013600010025,"1,747",943,432,7,10,24,25,55,184,130,D,D,435
2013600010078,"3,583","1,887",949,4,11,25,32,106,389,263,D,D,830
2013700010056,517,275,135,0,0,0,5,12,51,85,E,E,156
2013900010027,294,157,93,0,0,0,0,7,29,44,E,E,83
2014000010028,211,98,54,0,0,0,0,4,25,48,E,E,79
2014000010032,402,214,103,0,0,0,7,6,60,53,D,D,126
2014000010047,61,32,14,0,0,0,4,0,8,4,D,D,18
2014000010051,25,13,5,0,0,0,0,0,3,0,D,D,6
2014100360078,967,480,245,0,5,7,12,17,153,102,D,D,297
2014100360167,"1,127",578,285,0,3,4,15,28,160,100,D,D,310
2014100360186,288,159,81,0,0,0,5,9,35,24,D,D,77
2014100360190,708,356,196,0,0,4,3,6,124,57,D,D,194
2014100360203,92,41,25,0,0,0,0,0,9,9,E,D,22
2014100360218,617,311,148,0,4,7,15,20,94,65,D,D,205
2014100360222,537,276,125,3,3,9,12,20,76,52,D,D,175
2014100360237,144,72,39,0,0,0,0,4,14,21,E,E,42
2014100360241,327,158,84,0,0,0,0,0,58,34,D,D,99
2014100360256,17,8,4,0,0,0,0,0,0,0,E,AB,4
2014100360260,68,30,13,0,0,0,0,0,11,10,D,D,21
2014100360275,178,93,51,0,0,0,4,4,21,20,D,D,50
2014200010022,58,38,17,0,0,0,6,6,16,25,E,E,55
2014200010037,407,216,84,0,0,0,0,3,59,97,E,E,162
2014300010157,"2,023","1,003",452,13,55,51,52,69,254,193,D,D,687
2014300010195,"1,987","1,033",449,4,32,38,39,89,274,191,D,D,667
2014300010208,"1,249",621,309,3,3,12,15,31,195,126,D,D,385
2014300010212,64,31,18,0,0,0,3,6,9,3,D,D,24
2014300010227,22,10,8,0,0,0,0,0,7,3,D,D,12
2014400010027,175,83,27,0,0,0,0,10,36,26,D,D,74
2014500010024,"1,928","1,005",531,34,52,51,91,91,158,76,D,D,553
2014500010039,633,337,195,13,39,27,31,25,53,20,D,D,208
2014500010043,874,456,248,12,29,24,26,37,90,25,D,D,243
2014500010058,256,132,82,15,25,14,13,0,8,0,C+,C_MAS,77
2014500010062,860,435,244,18,59,47,33,34,65,14,D,D,270
2014500010081,78,44,24,0,4,0,4,0,11,5,D,D,29
2014500010096,125,67,44,0,3,4,5,4,11,9,D,D,37
2014500010109,14,8,4,0,0,0,0,0,6,0,D,D,9
2014500010113,72,34,18,0,0,0,0,3,7,3,D,D,19
2014500010128,12,6,4,0,0,0,0,0,3,0,D,D,4
2014600010021,952,525,283,0,0,3,5,17,123,109,D,D,257
2014700010029,224,115,58,0,0,0,0,5,51,43,D,D,105
2014800010026,960,517,261,0,0,0,0,7,77,134,E,E,222
2014900010023,832,466,241,0,7,9,18,35,103,75,D,D,248
2014900010038,601,312,166,0,0,5,3,9,68,76,E,E,161
2015000010077,"2,228","1,121",614,12,16,38,47,54,259,146,D,D,572
2015000010081,"3,724","1,918","1,048",16,36,36,86,116,433,206,D,D,929
2015000010096,"4,308","2,264","1,191",53,88,114,131,145,366,134,D,D,1031
2015000010109,"2,015","1,072",571,30,40,47,55,67,181,66,D,D,486
2015100010021,51,23,12,0,0,0,0,6,31,29,D,D,66
2015200010029,248,133,61,0,0,3,6,5,31,43,E,E,89
2015200010033,207,103,41,0,0,0,0,3,20,34,E,E,57
2015200010052,154,76,33,0,0,0,0,0,16,18,E,E,38
2015200010067,48,26,15,0,0,0,0,0,9,5,D,D,16
2015300010064,722,373,184,0,4,3,9,12,95,67,D,D,190
2015300010079,376,188,97,0,0,0,0,5,41,44,E,E,92
2015300010083,"1,471",773,412,9,21,28,28,51,166,108,D,D,411
